,Authentication Errors,Context Handling Failures,Environment Setup Errors,Formatting Errors,Goal Deviation,Incorrect Problem Identification,Instruction Non-compliance,Language-only,Poor Information Retrieval,Resource Abuse,Resource Exhaustion,Resource Not Found,Service Errors,Task Orchestration,Timeout Issues,Tool Definition Issues,Tool Output Misinterpretation,Tool Selection Errors,Tool-related
Authentication Errors,0.0,0.158382,0.081024,0.102019,0.0,0.0,0.0,0.0,0.002389,0.142412,0.0,0.0,0.0,0.0,0.0,0.0,0.077038,0.016747,0.0
Context Handling Failures,0.012249,0.0,0.004268,0.167619,0.0,0.071674,0.0,0.0,0.120037,0.031022,0.0,0.001831,0.07082,0.128286,0.0,0.002992,0.074286,0.0,0.007837
Environment Setup Errors,0.008273,0.123147,0.0,0.175833,0.169604,0.07907,0.0,0.208153,0.071836,0.123266,0.078043,0.089409,0.0,0.070798,0.078043,0.0,0.137329,0.0,0.056978
Formatting Errors,0.108872,1.0,0.096479,0.0,0.0,1.0,0.0,0.0,0.27725,1.0,0.067448,0.12376,0.122439,0.0,0.067448,0.0,1.0,0.0,0.0
Goal Deviation,0.0,0.0,0.094134,0.0,0.0,0.0,0.112499,0.088684,0.0,0.0,0.0,0.0,0.0,0.065479,0.0,0.005404,0.041273,0.138792,0.139174
Incorrect Problem Identification,0.0,0.130325,0.008362,0.207035,0.0,0.0,0.0,0.138484,0.0,0.146135,0.082621,0.0,0.0,0.066549,0.082621,0.0,1.0,0.0,0.0
Instruction Non-compliance,0.0,0.0,0.15,0.0,0.384614,0.0,0.0,0.318715,0.0,0.0,0.067091,0.110631,0.0,0.0,0.067091,0.061564,0.0,0.226189,0.27999
Language-only,0.0,0.0,0.018363,0.0,0.092072,0.046856,0.039908,0.0,0.0,0.0,0.068006,0.004593,0.0,0.069861,0.068006,0.0,0.0,0.060496,0.0
Poor Information Retrieval,0.067337,0.192779,0.00249,0.331425,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.071382,0.004153,0.0,0.0,0.0,0.0,0.0,0.221427
Resource Abuse,1.0,0.20228,0.058862,0.309738,0.0,0.051679,0.0,0.0,0.286727,0.0,0.0,0.065985,0.0,0.0,0.0,0.0,0.192011,0.0,1.0
Resource Exhaustion,0.0,0.0,0.048052,0.011164,0.0,0.1,0.006308,0.017964,0.0,0.0,0.0,0.0,0.0,0.022809,0.0,0.0,0.0,0.0,0.0
Resource Not Found,0.0,0.074817,0.048911,0.069015,0.0,0.0,0.129475,0.145616,0.120665,0.107115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Service Errors,0.0,0.036407,0.0,0.116499,0.0,0.0,0.0,0.0,0.103074,0.0,0.0,0.0,0.0,0.022809,0.0,0.0,0.0,0.0,0.0
Task Orchestration,0.0,1.0,0.001396,0.0,0.256607,0.10832,0.0,0.293158,0.0,0.0,0.068498,0.0,0.068498,0.0,0.068498,0.000469,0.179118,0.110735,0.0
Timeout Issues,0.0,0.0,0.048052,0.011164,0.0,0.1,0.006308,0.017964,0.0,0.0,0.0,0.0,0.0,0.022809,0.0,0.0,0.0,0.0,0.0
Tool Definition Issues,0.0,0.084295,0.0,0.0,0.120535,0.0,0.100799,0.0,0.0,0.0,0.0,0.0,0.0,0.070585,0.0,0.0,0.0,0.0,0.069603
Tool Output Misinterpretation,0.004298,0.136228,0.016555,0.263771,0.163215,0.172168,0.0,0.0,0.0,0.160558,0.0,0.0,0.0,0.002858,0.0,0.0,0.0,0.0,0.0
Tool Selection Errors,0.117463,0.0,0.0,0.0,1.0,0.0,0.125104,1.0,0.0,0.0,0.0,0.0,0.0,0.158911,0.0,0.0,0.0,0.0,0.0
Tool-related,0.0,0.155426,0.102341,0.0,0.147688,0.0,0.02001,0.0,0.086973,0.170968,0.0,0.0,0.0,0.0,0.0,0.000346,0.0,0.0,0.0
